Game ,Creator Name,Description,Created In,Release Date,Last Update,Age Rating,Tags,Players Now,ALL Time Peak
PAL TYCOON ,camrin,- Mining & Harvesting - Claim Pets - Earn Keys - Keys Increase Production - Keys are saved - Boss Battle Replayable Tycoon! ,UEFN,"May 12, 2024","June 8, 2024",Teen / 12,"tycoon, simulator, boss battle, casual, ","1,879","6,621"
180 LEVEL OBBY PARKOUR ,s.w.a.t, 180 STAGES Extra stages with Random gifts Time Your Run Shop Custom HUD Leaderboard Made In UEFN/Verse Updated ,UEFN,"Mar 28, 2024","April 16, 2024",Teen / 7,"race, parkour, escape, minigame, ","2,239","2,301"
Festival Main Stage,epic,"Play in a band with friends or perform solo on stage with hit music by your favorite artists in Fortnite Festival! On the Main Stage, play a featured rotation of Jam Tracks. Compete against friends for the best performance or team up to climb the leaderboards. The festival is just beginning with more Jam Tracks, Music Icons, concerts, and stages coming soon. Take your stage in Fortnite Festival!",Unknown,"Sep 12, 2022","September 12, 2022",Teen / 12,"music, party game, ","8,684","847,466"
BHE 1V1 BUILD FIGHTS   ,bhe,FFA Build Fights 1v1 box fights fast action build reset built in UEFN,UEFN,"Aug 14, 2019","May 24, 2024",Teen / 12,"1v1, practice, boxfight, ","8,655","59,144"
MURDER MYSTERY,goodgamers, Survivors: Survive the Murderer Murderer: Eliminate all Survivors Sheriff: Eliminate the Murderer,UEFN,"Oct 20, 2023","June 9, 2024",Teen / 7,"party game, role playing, survival horror, ","6,680","36,210"
Save The World,epic,"Battle to hold back the monster hordes and explore a vast, destructible world. Build huge forts, craft weapons, find loot and level up.",Unknown,"Aug 25, 2021","October 1, 2021",Teen / 12,"pve, ","14,769","76,630"
ONE SHOT GUN GAME  AIM,sneznyj,PVP/PVEQUESTSSECRETSINFINITE WEAPONSENDLESS ROUNDSINFINITE TIMEENDLESS FUNTRAIN YOUR AIMFIGHT THE BOTSBECOME THE BEST AMONG 12 PLAYERS,UEFN,"May 3, 2024","May 3, 2024",Teen / 12,,"6,516","9,222"
MUSHROOM TYCOON ,bpascteam,"X1.5 EVENT is here!Build the best Mushroom Base Beat 2 parkour challenges!Collect treasure chests on the mapDifferent pets, Boosts and TrailsFind all the secret",UEFN,"Jan 31, 2024","May 25, 2024",Teen / 12,"just for fun, tycoon, simulator, casual, ","6,805","6,805"
SUPER RED VS BLUE ,typicalgamer, New ALL Chapter 5 Season 2 Weapons! Most Fun EVER Amazing Super Powers Super Vault and Supply Drops 10 Gold Coins per Elimination Earn Points to Rank Up to Unreal Complete Achievements for Rewards Frequent Updates with all the new content! Eliminations and Ranks Save,UEFN,"Sep 27, 2023","June 8, 2024",Teen / 12,,"14,403","80,589"
Zero Build - Battle Royale,epic,"All battle, no building!Zero Build is all the action, loot, and progression of classic Battle Royale, without the Building! Players now have a recharging Overshield for added defense as they fight to be the last one standing.",Unknown,"Jun 30, 2022","June 30, 2022",Teen / 12,,"296,084","1,405,384"
BOX PVP ,hive, NEW! MYTHIC HAVOC MODE CLASSIC BOX FIGHT BOXED LIKE A FISH 200 PUMP IS BACK WINNER GETS GOLD PUMP ELIMS AND WINS SAVE,UEFN,"Jul 28, 2022","June 9, 2024",Teen / 12,,"7,223","130,644"
