Game ,Description,Age Rating,Tags
💯 RED VS BLUE 🥶 RUMBLE,🆕 New All Ch5 Weapons Added🔵 ENDLESS TEAM DEATHMATCH COMBAT🔴 POWERUPS AND SECRETS 👀🏆 Rank up from BRONZE to UNREAL📀 50 Gold Coins per Elimination🔒 OP Vault💾 Eliminations and Ranks Save,Teen / 12,"team deathmatch, capture the flag, base, action, "
"🎯Aim, Edit, Piece Control","Welcome to the ultimate practice map. Improve and practice your aim, edits, piece control and builds with over 100+ drills. Whether you are a pro or a newcomer elevate your Fortnite skills.🚀🧩Piece Control🧩🎯Aim Practice 🎯🎮Editing Practice 🎮👥Duo Aim Duels👥🧱Free Building🧱🏆Improve Your Skills🏆",Teen / 12,"aim course, edit course, practice, minigame,"
Lumberjack Heroes,"A lumberjack themed incremental game infused with RPG gameplay elements.• Destroy trees to collect wood and power up with various upgrades and custom abilities.• Discover eggs, hatch, level up and evolve pets that aid you on your journey.• Challenge a variety of Boss Fights with unique battle mechanics.• Weapon upgrade system to level up your combat abilities.• Save game progress with new Verse data persistence.",Teen / 12,"tycoon, clicker, boss battle, simulator,"
PANDVIL Box Fight (2v2) 📦,"🔸🟢Made By PANDVIL🔸(2 vs 2) Box Fight Matchmaking🔸Near 0 wait between rounds🔸Ranks, Cosmetics and much more🔸When eliminated spectate OR parkour🔸LIFETIME WIN & ELIMINATION leaderboards",Teen / 12,"boxfight, practice, duo, 2v2,"
TILTED ZONE WARS ⭐,⭐ Classic Solo Zone Wars ⭐⭐ Fun Loot & Items ⭐⭐ Name Tags ON ⭐⭐ Nostalgic ⭐,Teen / 12,"practice, zonewars, pvp, free for all, "
🦸 HEROES GO GOATED 🌀,🦸 Random Heroes 🦸🐐 4 Teams Battle 🐐🌀 Classic Zone Wars Game 🌀👥Select Your Team👥,Teen / 12,"practice, pvp, zonewars,"
MESSI VS RONALDO 🔥,🏆Team VS Team🔫Every WeaponPOWERUPS🔥✨All Mythics🆕New Season Guns🚗Vehicles Added,Teen / 12,"action, team deathmatch, battle, just for fun, "
Lucky Block Bedwars,🍀Random Lucky Blocks🛏️Trios Bedwars😎Boss Vault⬆️Upgrade Base!,Teen / 12,"base, tycoon, pvp, competitive, "
Bed Wars Klombos [PvP BedWars],🔫 Chapter 5 Weapons & Mods!🛏️ Defend Your Klombo (Bed)!💥 Break Rival Klombos!🤝 4v4v4v4 Battle!,Teen / 12,"base, tycoon, pvp, practice, "
سكرمز< RASF🏆🥇,البقاء للافضل SURVIVAL OF THE BEST,Teen / 12,"zonewars, battle, arena, competitive, "
Pandvil 1v1 Simplistic,🔸SIMPLISTIC🔸Build Reset Button🔸Select 185 or 200 HP🔸Matchmaking Enabled,Teen / 12,"1v1, boxfight, practice, solo,"
PRO ZONE WARS (1V1 TO 4V4),"🏆 1v1, 2v2, 3v3, & 4v4 Zone Wars 🏆🔄 SCORE RESET 🔄🌟 WORKING ATTACHMENT SYSTEM! 🌟",Teen / 12,"zonewars, practice, 1v1, 4v4, "
Phantom Investigation [REIMAGINED],"Welcome to Phantom Investigation:A realistic approach at Ghost Hunting in Fortnite, now made in UEFN.Join up to 3 friends in this intricate game.Use your equipment and investigate the house, you have one singular objective; Identify the Ghost.v1.01",Teen / 12,"horror, casual, adventure, puzzle, "
Lumberjack Heroes,"A lumberjack themed incremental game infused with RPG gameplay elements.• Destroy trees to collect wood and power up with various upgrades and custom abilities.• Discover eggs, hatch, level up and evolve pets that aid you on your journey.• Challenge a variety of Boss Fights with unique battle mechanics.• Weapon upgrade system to level up your combat abilities.• Save game progress with new Verse data persistence.",Teen / 12,"tycoon, clicker, boss battle, simulator, "
POPSTAR TYCOON🎤,"🎤Become the ultimate POPSTAR in your journey through LA LA LAND!❤️Choose your own adventure alongside THREE SUPERSTAR HEROES🌎Attend FORTCHELLA MUSIC FESTIVAL before your STADIUM TOUR🌇Adopt PETS, take SELFIES and unlock RIDEABLE UNICORNS💸Hire agents and writers to make you a SMASH HIT🍔Eat up OUT-N-IN BURGERS, find LOST ALBUMS and uncover SECRETS💾Save your progress with REBIRTHS and the QUESTBOARD👑Are you ready for your POPSTAR adventure?",Teen / 7,"casual, just for fun, tycoon, simulator, "
Piece Control 1v1 🎯,🔫 BRAND NEW LOADOUTS🏗️ BRAND NEW COURSES🥇 Leaderboard📝 Intense Boxfight Piece Control Scenarios🏆 Career Leaderboard/ Arena Points🎮 Piece control courses built by competitive pro AVFN🎯 Best practice in the game,Teen / 12,"practice, 1v1, boxfight, pvp,"
180 LEVEL OBBY PARKOUR ⭐,⭐ 180 STAGES✨ Extra stages with Random gifts🕒 Time Your Run📃 Shop Custom HUD🏆 Leaderboard🧠 Made In UEFN/Verse✨ Updated ✨,Teen / 7,"race, parkour, escape, minigame, "
HAVOC HOTEL [ROGUELIKE],"Once luxurious Haven Hotel seized by a dangerous group, now Havoc Hotel. Amidst chaos, an intense roguelike awaits:🤝 Solo or Co-op gameplay⚔️ Battle through 18 stages of guards & bosses.🪙 Earn gold defeating enemies, tougher foes grant bigger rewards.🚨 Rescue guests for extra gold.🔫 Spend gold on better weapons, upgrades, consumables, power-ups.📝 Uncover the hotel's downfall through hidden notes.⏱️ Get the fastest escape time and be first in the leaderboard.",Teen / 12,"pve, roguelike, story, co-op,"
💯 RED VS BLUE 🥶 RUMBLE - Zero Build,🆕 New All Ch5 Weapons Added🔵 ENDLESS TEAM DEATHMATCH COMBAT🔴 POWERUPS AND SECRETS 👀🏆 Rank up from BRONZE to UNREAL📀 50 Gold Coins per Elimination🔒 OP Vault💾 Eliminations and Ranks Save,Teen / 12,"team deathmatch, action, gun game, capture the flag, "
Festival Main Stage,"Play in a band with friends or perform solo on stage with hit music by your favorite artists in Fortnite Festival! On the Main Stage, play a featured rotation of Jam Tracks. Compete against friends for the best performance or team up to climb the leaderboards. The festival is just beginning with more Jam Tracks, Music Icons, concerts, and stages coming soon. Take your stage in Fortnite Festival!",Teen / 12,"music, party game, "
1v1 Build Fight [Rezon ay],The 1v1 Build Fight Map that has everything you need✔ Optimized & Simplistic✔ Always Updated Weapons✔ Adjustable Health Options + Headshot Only Mode✔ Near 0 wait time between Fights✔ Custom Backgrounds✔ Fully Automatic✔ Built with UEFN & VerseCreated by Heavyblue,Teen / 12,"1v1, building, practice, competitive,"
Piece Control 2v2 🎯,🥇 Leaderboard📝 Intense Boxfight Piece Control Scenarios🏆 Career Leaderboard/ Arena Points🎯 Best practice in the gameGood for duosGreat 2v2 practice with your duoMade in UEFN / Creative 2.0,Teen / 12,"boxfight, practice, duo, 2v2,"
BOX PVP 📦,❗️ NEW! MYTHIC HAVOC MODE📦 CLASSIC BOX FIGHT🐠 BOXED LIKE A FISH🤯 200 PUMP IS BACK🏆 WINNER GETS GOLD PUMP💾 ELIMS AND WINS SAVE,Teen / 12,"boxfight, practice, pvp, "
🚓 BANK CITY 🏙️ FFA-RP 🚨,"🔥LOTS OF POI (bank, airport, military base, desert, yacht, submarine, zombies zone, bunker, construction site, beach, forest, farm, port, etc.)🔥🏎CUSTOM GARAGE FOR CAR🚙🔶MAKE TEAMS🔷🏙️MORE DETAILED CITY🏙️🏢APARTMENTS AND VILLAS🏠🔫ALL NEW WEAPONS💣🚁HELICOPTERS, LUXURY CARS, TANKS, ETC...🚗🎁BIG SECRET🎁🧠MADE IN UEFN/CREATIVE 2.0🧠💥Have FUN !💥",Teen / 12,"just for fun, race, role playing, open world,"
HAVOC HOTEL [ROGUELIKE],"Once luxurious Haven Hotel seized by a dangerous group, now Havoc Hotel. Amidst chaos, an intense roguelike awaits:🤝 Solo or Co-op gameplay⚔️ Battle through 18 stages of guards & bosses.🪙 Earn gold defeating enemies, tougher foes grant bigger rewards.🚨 Rescue guests for extra gold.🔫 Spend gold on better weapons, upgrades, consumables, power-ups.📝 Uncover the hotel's downfall through hidden notes.⏱️ Get the fastest escape time and be first in the leaderboard.",Teen / 12,"pve, roguelike, story, co-op, "
Pit - Custom Weapons,"🔫 Custom Weapons + All Weapons💾 Ranked System & All Progress Saves🛠️ Builds Reset Every 15 min📀 Spend Gold On Weapons, Powers, and Events📈 Vote For New Custom Weapons🧠 MADE IN UEFN & WEEKLY UPDATES",Teen / 12,"free for all, practice, pvp, respawn, "
Piece Control 2v2 🎯,🥇 Leaderboard📝 Intense Boxfight Piece Control Scenarios🏆 Career Leaderboard/ Arena Points🎯 Best practice in the gameGood for duosGreat 2v2 practice with your duoMade in UEFN / Creative 2.0,Teen / 12,"boxfight, practice, duo, 2v2, "
Default Parkour 425+,🤯 Over 425 SIMPLE Stages🏃‍♂️ Dash! Glide! Ascend!🕵️‍♀️ Discover Secrets🕒 Challenge Your Speed😳 Will You Reach the FINAL Challenge?Explore 425+ EASY Levels!Can You Uncover Every Secret?Created by Omega Creations,Teen / 7,"parkour, deathrun, difficulty: easy, just for fun, "
GUN GAME ONE SHOT,16 Player Colossal Coliseum Gun GameMore than 300 WEAPONS 🏆Auto-save is enabled. Come back to continue where you left off 💾Made in UEFN 👑Each elimination will grant you a new weapon ⭐The weapons have Infinite Rotation 🔂Elimination streaks give Powerups and extra Perks ❤️‍🔥,Teen / 12,"gun game, one shot, pvp, training, "
🔧 CUSTOM CARS TYCOON,"🚗 Over 50 Custom Cars + MONSTER TRUCKS 🔥🚀 JUMP to the NEXT WORLD in a HUGE MEGA RAMP🔧 Repair, Customize and Upgrade Cars🥇 Compete in the first *CUSTOM RANK SYSTEM*🚚 Unlock SECRET Mega Cars",Teen / 12,"casual, just for fun, tycoon, simulator, "
🐐 GO GOATED! Zone Wars 🌀 *NEW WEAPONS*,🐐 4 Teams Battle 🐐🌀 Classic Zone Wars Game 🌀👥Select Your Team👥💾 Eliminations Save 💾,Teen / 7,"practice, pvp, zonewars, "
🚔DRIVE CITY - ALL WEAPONS💥,💥Free For All💥🏎️ Driving with Unlimited Boost🏎️🔫 All weapons🔫🏝️Big map with a lot of places to explore🏝️🤐Secret Spots🤐Have fun!,Teen / 12,"open world, race, role playing, just for fun, "
SUPERSTORE TYCOON🛒,🌈WELCOME TO SUPERSTORE TYCOON🛒😱 Open Your OWN Superstore📦 Make Deliveries🛍️ Stock Shelves💪 Be a Cashier🧟 Defend Your Base👚 Custom Clothing Shop⭐ Become a VIP🧠 Made with UEFN/Verse,Teen / 12,"casual, just for fun, simulator, tycoon, "
1v1 With Every Gun 🔫,❌ No Locked or Paid Mythics✔️ All Weapons Available Without Waiting👤 24 Player Free-For-All🚁 Fun Vehicles💾 Eliminations & Loadout Save🆕 Updated Weekly,Teen / 12,"free for all, practice, pvp, respawn, "
🌲 SPEED REALISTICS 2v2 - FINEST 🌲,"🌲 2v2 Realistics🔃 Speed Realistics Enabled👑 Top 250 Leaderboard Updated Weekly🔥 Rank up to Unreal by Winning🎵 Lofi Beats📝 Made in UEFNThis map is used by the best pros placing in tournaments. There are custom loadout selectors, more than 27 POIs, a ranked leaderboard going all the way to top 250 & lo-fi beats to listen to. Practice against friends via the matchmaking system to reach the highest rank and submit your leaderboard score.",Teen / 12,"boxfight, practice, 2v2, "
سكرمز< RASF🏆🥇,البقاء للافضل SURVIVAL OF THE BEST,Teen / 12,"zonewars, battle, arena, competitive,"
CRAZY RED VS BLUE 🔴🔵,🔫 All Weapons✅ Very Fun Red Vs Blue🔥 10 Coins Per Elimination✅ Custom Scoreboard💾 SAVES Eliminations🆕 CHAPTER 5 WEAPONS,Teen / 12,"team deathmatch, practice, pvp, "
DON'T PRESS THE BUTTON,"Welcome to Don't Press The Button! There is a button in the middle of nowhere, the button is in your power to use, will you go rogue and press it or will you follow the rules and not press the button?What chaos can the button cause?☄️ Current Stages: 76Recent Update 05/16New 15 Player Content Update out now!New Stages:- Unseen Maze- Climb Wall- Flash SpeedrunI will always provide updates frequently, make sure to check often so you don't miss something.",Teen / 12,"just for fun, minigame, party game, casual,"
RAFT TYCOON [CO-OP],👥 2 Player CO-OP Raft Tycoon! - *UPDATED PRICES*🌊 You're in the Middle of the Ocean 🌊🚣‍♂️ Start on a Single Pallet 🌴🛠️ Expand and Build your Dream Raft 🛶🔓 Unlock new Farms 🍌🎣 Fish for extra Gold 🐠🔍 Find Easter Eggs! 🥚🚀 Reach the end! 🎉,Everyone 10+ / 12,"co-op, tycoon, just for fun, simulator,"
The Pit - Free For All,💾 Your Scoreboard Stats Save🛠️ Reset Builds Every 10 min📀 5 Coins per Elimination🔫 All Weapons,Teen / 12,"free for all, practice, pvp, respawn, "
Spy Tycoon 🕵️,👑Become the Most Famous Spy🕵️Spy on people and earn income🏘️ Build Your Spy operation base🐶Unlock your spy pet💾 Persistence Data enable!📲Come back where your based is build📲Saves your progress and stats!🧠 Made in Creative 2.0By Clevereen,Teen / 12,"tycoon, simulator, just for fun, casual, "
🔶Prison Breakout RP🔷,"Prison Breakout is an open world game of Cops and Robbers, escape prison to start your adventure, or be a guard and protect the city! 🔶🔷🏃 24 Player Lobby💎 Plan and Complete Heists🔫 Upgrade your gear🏠 Purchase Apartments & Villas🤫 Find Secrets🏆 Complete Quests👑 Unlock Achievements👀 1st & 3rd Person View💾 Progress Saves",Teen / 12,"role playing, open world, just for fun, race, "
🐐 GO GOATED! Combat💥,🐐 4 Team Combat 🐐💥 PvP Respawn 💥🔄 Respawn Enabled 🔄💀 Unlock the Vault 💀👥Select Your Team👥💾 Stats Save 💾,Teen / 12,"team deathmatch, respawn, "
